PARENT_UI_ELEMENT,TARGET_UI_ELEMENT,COMPONENT_NAME,UI_EVENT_SOURCE,ConcatComponentEvent,Event,Event Label,Description,Rank
related-list-quicklinkcontainer,component,,RLQL-load-additional,related-list-quicklinkcontainer - component -  - RLQL-load-additional,,,,0
related-list-quicklinkcontainer,component,,RLQL-load-initial,related-list-quicklinkcontainer - component -  - RLQL-load-initial,,,,0
feedElementBody,compactFeedItem,,click,feedElementBody - compactFeedItem -  - click,Click,Feed Post Collapse / Expand,A user clicks on an item in the feed of a record,0
tab-bar,tab-bar-content__tab,feedTab,click,tab-bar - tab-bar-content__tab - feedTab - click,Click,Feed Tab Header,Clicking the ‘Feed’ tab on a record and the ‘All Updates’ feed loads by default,0
publisher,rich-text-parse,,synthetic-click,publisher - rich-text-parse -  - synthetic-click,Click,Begin Feed Input,A user begins to type text as a new post or a comment on an existing post,0
publisher,clicking publisher Button,,synthetic-click,publisher - clicking publisher Button -  - synthetic-click,Click,Input Feed Comment,A user clicks ‘Share’ under Feed -> Post i.e. creating a new comment,0
actions-composer-tab,publisher-collapsed-quick-action__button,FeedItem.TextPost,click,actions-composer-tab - publisher-collapsed-quick-action__button - FeedItem.TextPost - click,Click,Feed Share Update,A user clicks ‘Share an update’ under Feed -> Post i.e. creating a new comment,0
actions-composer-tab,publisher-collapsed-quick-action,FeedItem.TextPost,synthetic-click,actions-composer-tab - publisher-collapsed-quick-action - FeedItem.TextPost - synthetic-click,Click,Feed Share Update (Synth),A user clicks ‘Share an update’ under Feed -> Post i.e. creating a new comment,0
search-input-desktop,search-suggestions-list,,synthetic-refresh,search-input-desktop - search-suggestions-list -  - synthetic-refresh,Click,Generic Search Box,,0
publisher-quick-action,submitButton__button,,click,publisher-quick-action - submitButton__button -  - click,Click,Feed Post Submit Button,A user clicks ‘Share’ under Feed -> Post i.e. creating a new comment,0
publisher,postCreated,TextPost,synthetic-click,publisher - postCreated - TextPost - synthetic-click,Click,Comment Added Notification,The post that was submitted by the user is created in the feed.,0
RecordEditAction,action__button,SaveEdit,click,RecordEditAction - action__button - SaveEdit - click,Click,Record Edit,Editing the record in sidepanel component,0
feed-body-text,messageComponents,,click,feed-body-text - messageComponents -  - click,,,,0
one-utilityBar,one-utilityBarItem--panelMinimized,,synthetic-click,one-utilityBar - one-utilityBarItem--panelMinimized -  - synthetic-click,Click,UtilityBarItemClose,The user minimizes or moves away from the utility bar item in the footer,0
one-utilityBar,one-utilityBarItem--panelOpened,,synthetic-click,one-utilityBar - one-utilityBarItem--panelOpened -  - synthetic-click,Click,UtilityBarItemOpen,The user clicks on an item in the utility bar in the footer.,0
search-input-desktop,search-input,,synthetic-click,search-input-desktop - search-input -  - synthetic-click,Click,GlobalSearchBar,User clicks on global search at the top of the screen.,0
record-layout,inline-edit-trigger__button,Subject,click,record-layout - inline-edit-trigger__button - Subject - click,Click,SubjectRecordEditAction,Double-click to inline-edit the Subject field,0
publisherAttachmentAction,menuTrigger__menu-trigger-link,,click,publisherAttachmentAction - menuTrigger__menu-trigger-link -  - click,Click,AttachFileIcon,The user clicks 'Attach File' paperclip icon in an e-mail or a feed post.,0
emailToolbarContainer,insertEmailTemplate,,synthetic-insertEmailTemplate,emailToolbarContainer - insertEmailTemplate -  - synthetic-insertEmailTemplate,,,,0
output-lookup-preview,link,,synthetic-hover,output-lookup-preview - link -  - synthetic-hover,,,,0
search-input-desktop,search-mru-action-item,,synthetic-click,search-input-desktop - search-mru-action-item -  - synthetic-click,Click,GlobalSearchBarResult,User has clicked on a recent item in the Global Search results prompt.,0
record-layout,inline-edit-trigger__button,Ecom_Category__c,click,record-layout - inline-edit-trigger__button - Ecom_Category__c - click,Click,CategoryField,User double-clicks on the record details to edit,0
tab-bar,tab-bar-content__tab,detailTab,click,tab-bar - tab-bar-content__tab - detailTab - click,Click,DetailsTab,User navigates to the Details tab,0
tab-bar,tab-bar-content__tab,FeedItem.TextPost,click,tab-bar - tab-bar-content__tab - FeedItem.TextPost - click,Click,TextPost,User interacting with a text post in the feed.,0
statusMenu,menu-trigger,,click,statusMenu - menu-trigger -  - click,Click,StatusMenu,,0
record-layout,inline-edit,,click,record-layout - inline-edit -  - click,Click,Details Tab Edit,Double-click on field in Details panel to edit the record,0
form-footer,save-button,,click,form-footer - save-button -  - click,Click,Save Button,"Save the record using the save button at the buttom of the new, edit  and clone page",0
search-input-desktop,autocomplete-content,,click,search-input-desktop - autocomplete-content -  - click,Click,AutoCompleteSuggestion,User accepts search autocompletion suggestion,0
search-input-desktop,search-mru-item,,synthetic-click,search-input-desktop - search-mru-item -  - synthetic-click,Click,Lookup-Field Search Result,User clicks on a most-recently used record that is prompted in the search lookup,0
inline-edit-grid,entity-link,,click,inline-edit-grid - entity-link -  - click,Click,Record in List View,Clicking a record link in a list view,0
one-shortcutLibraryCommandHandler,Edit,,synthetic-keyboard,one-shortcutLibraryCommandHandler - Edit -  - synthetic-keyboard,,,,0
sessiontimeoutwarn,session-timeout-notification,,synthetic-notification,sessiontimeoutwarn - session-timeout-notification -  - synthetic-notification,,,,0
search-input-lookup-desktop,search-input,,synthetic-click,search-input-lookup-desktop - search-input -  - synthetic-click,Click,Lookup-Field Search,Looking for a record in a relationship field (creating or editing a record),0
tab,close,,unload,tab - close -  - unload,,,,0
publisherAttachmentAction,attachmentButton__button,,click,publisherAttachmentAction - attachmentButton__button -  - click,Click,Upload Attachment,Uploading an attachment either on a record feed post or in the Email composer.,0
ChatterFeed,entityLinkClicked,,synthetic-click,ChatterFeed - entityLinkClicked -  - synthetic-click,Click,ChatterLink,Clicking a link in Chatter,0
publisher,file-upload,,synthetic-click,publisher - file-upload -  - synthetic-click,Click,Confirm Upload Attachment,The user has clicked 'Add' to finalise attachment upload.,0
modal-content,attachButton__button,,click,modal-content - attachButton__button -  - click,Click,UploadAttachment,Uploading an attachment,0
publisher,postEdited,,synthetic-click,publisher - postEdited -  - synthetic-click,Click,FeedPostsEdit,Editing a note in the feed.,0
action-modal,submitButton__button,,click,action-modal - submitButton__button -  - click,Click,PopUpActionSubmitButton,Generic submit button on a pop-up action,0
publisherAttachmentAction,publisher-attachments-menu-item__menu-item,ui.publisher.support.quickAction.sendEmail.insert.template,click,publisherAttachmentAction - publisher-attachments-menu-item__menu-item - ui.publisher.support.quickAction.sendEmail.insert.template - click,Click,FeedEmailAttachment,Uploading an attachment,0
record-layout,inline-edit-trigger__button,Order_Reference_Number__c,click,record-layout - inline-edit-trigger__button - Order_Reference_Number__c - click,Click,EditFieldInTheDetailsTab,Double-click on field in Details panel to edit the record,0
related-list-quicklinkcontainer,component,,RLQL-show-more/less,related-list-quicklinkcontainer - component -  - RLQL-show-more/less,,,,0
outputLookup,entity-link,,click,outputLookup - entity-link -  - click,Click,Record Link,The user clicked on a link to open a record,0
card-related-list,card-footer-viewAll,,click,card-related-list - card-footer-viewAll -  - click,Click,ViewAllButton,User clicks View All on a related list pop-up hover window,0
modal,modal-close__button,,click,modal - modal-close__button -  - click,Click,ModalWondowCloseButton,CLosing a pop-up modal window,0
tab-bar,tab-bar-content__tab,chatTab,click,tab-bar - tab-bar-content__tab - chatTab - click,Click,ChatTab,Click on the Chat tab,0
force:detailPanel,force:detailPanel,,synthetic-primeMetadataStore,force:detailPanel - force:detailPanel -  - synthetic-primeMetadataStore,Click,Sub-Panel Detail,"The user has clicked into a sub-tab view of the details of a record, such as a Task in the Activity timeline.",0
tab-bar-content,overflow__menu-trigger-link,,click,tab-bar-content - overflow__menu-trigger-link -  - click,,,,0
tab-bar,tab-bar-content__tab,EmailMessageEvent,click,tab-bar - tab-bar-content__tab - EmailMessageEvent - click,Click,EmailInFeed,View only Emails in the feed,0
